id,name,code,flag_url,group_name,created_at
2a821620-5dfc-4064-8add-c8ea2ba31125,Argelia,ALG,https://flagcdn.com/w320/dz.png,J,2026-05-28 22:32:10.338016+00
fbaf1832-b85a-4455-bd04-adfcdb9ce81c,Austria,AUT,https://flagcdn.com/w320/at.png,J,2026-05-28 22:32:10.338016+00
a03b09ac-90d8-45a0-aff4-67c0e8141273,Jordania,JOR,https://flagcdn.com/w320/jo.png,J,2026-05-28 22:32:10.338016+00
0122bf8e-8013-43c5-9912-ba8abc0fbac1,Portugal,POR,https://flagcdn.com/w320/pt.png,K,2026-05-28 22:32:10.338016+00
4d08e0bd-545d-424e-8e2c-f34d7d1b2703,República Democrática del Congo,COD,https://flagcdn.com/w320/cd.png,K,2026-05-28 22:32:10.338016+00
b2c7ff5e-9e5e-4d97-b963-bfddf0d84090,Uzbekistán,UZB,https://flagcdn.com/w320/uz.png,K,2026-05-28 22:32:10.338016+00
0d6998ba-a486-4f54-885e-dbd0878ae77f,Colombia,COL,https://flagcdn.com/w320/co.png,K,2026-05-28 22:32:10.338016+00
ec5a5b1b-1664-4006-8bc5-b5387086585c,Inglaterra,ENG,https://flagcdn.com/w320/gb-eng.png,L,2026-05-28 22:32:10.338016+00
6b85602d-b494-494d-b3f7-1219ec36bfdc,Croacia,CRO,https://flagcdn.com/w320/hr.png,L,2026-05-28 22:32:10.338016+00
bff37633-bc2f-43fe-b46c-c0babfe6556d,Ghana,GHA,https://flagcdn.com/w320/gh.png,L,2026-05-28 22:32:10.338016+00
76393387-11d9-405c-b759-911725567cfe,Panamá,PAN,https://flagcdn.com/w320/pa.png,L,2026-05-28 22:32:10.338016+00
